id,code,name,created_at,updated_at,province_id,province_code
26,1185JJ,1185JJ,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,10,WE
27,3161LH,3161LH,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
28,1954YJ,1954YJ,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,4,LP
29,1595BS,1595BS,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,4,LP
30,3057DF,3057DF,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,6,MU
31,1318AA,1318AA,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,7,NO
32,1286SY,1286SY,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,4,LP
33,1628YS,1628YS,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,10,WE
34,1742LL,1742LL,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,5,LS
35,2218RK,2218RK,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,3,EA
36,2746SH,2746SH,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,7,NO
37,1248MH,1248MH,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
38,1955JT,1955JT,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,1,CE
39,2371BG,2371BG,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,1,CE
40,1760KD,1760KD,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,4,LP
41,1577CY,1577CY,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,10,WE
42,1572RS,1572RS,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,10,WE
43,1851ZT,1851ZT,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,4,LP
44,1747PK,1747PK,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
45,1459NE,1459NE,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,3,EA
46,2614BG,2614BG,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,4,LP
47,1803ET,1803ET,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,4,LP
48,2719PK,2719PK,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,6,MU
49,3152HL,3152HL,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,3,EA
50,1551PP,1551PP,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,8,NW
51,1693SH,1693SH,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,10,WE
52,2088GN,2088GN,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
53,1111YY,1111YY,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
54,1463FR,1463FR,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,10,WE
55,3094EL,3094EL,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
56,2648BS,2648BS,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
57,2574AY,2574AY,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,8,NW
58,1453SJ,1453SJ,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,1,CE
59,2958NF,2958NF,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,7,NO
60,2761FY,2761FY,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,6,MU
61,1031JL,1031JL,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,1,CE
62,2820BL,2820BL,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,7,NO
63,1133MA,1133MA,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,6,MU
64,1796BC,1796BC,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,4,LP
65,1320EA,1320EA,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,1,CE
66,2851JC,2851JC,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
67,2200FE,2200FE,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,9,SO
68,1681BM,1681BM,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,4,LP
69,2319JJ,2319JJ,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,3,EA
70,1301LJ,1301LJ,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,5,LS
71,2705HN,2705HN,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
72,1855SH,1855SH,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,9,SO
73,1113KZ,1113KZ,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,10,WE
74,1985FE,1985FE,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,6,MU
75,2302GC,2302GC,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,10,WE
76,2721CK,2721CK,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,6,MU
77,3326FR,3326FR,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,4,LP
78,2595NM,2595NM,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,1,CE
79,2925PZ,2925PZ,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,6,MU
80,2723NH,2723NH,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,8,NW
81,3199NZ,3199NZ,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,9,SO
82,1421LD,1421LD,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,8,NW
83,2656ZL,2656ZL,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,3,EA
84,2393FT,2393FT,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,3,EA
85,1901RM,1901RM,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,10,WE
86,1821SA,1821SA,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
87,2938ZN,2938ZN,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,5,LS
88,2812JS,2812JS,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,7,NO
89,1422TP,1422TP,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,4,LP
90,1882BF,1882BF,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
91,2698RP,2698RP,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,8,NW
92,1480BG,1480BG,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
93,1606ZD,1606ZD,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
94,2130EA,2130EA,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,3,EA
95,2382RS,2382RS,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,5,LS
96,2091AS,2091AS,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,5,LS
97,2241PT,2241PT,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,5,LS
98,1748YC,1748YC,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
99,1790NL,1790NL,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
100,2368AT,2368AT,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
101,2136HG,2136HG,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,3,EA
102,2366BZ,2366BZ,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,1,CE
103,2237YZ,2237YZ,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,5,LS
104,1068BN,1068BN,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,5,LS
105,1357AR,1357AR,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,9,SO
106,1106YP,1106YP,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
107,2391TZ,2391TZ,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
108,1080AZ,1080AZ,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,1,CE
109,1331HH,1331HH,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,5,LS
110,2204JN,2204JN,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,7,NO
111,2729BS,2729BS,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,8,NW
112,2822AJ,2822AJ,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
113,1915YF,1915YF,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,8,NW
114,1215LY,1215LY,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,7,NO
115,3290NH,3290NH,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,1,CE
116,2912RF,2912RF,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,3,EA
117,1287ML,1287ML,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,5,LS
118,2587TR,2587TR,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,8,NW
119,2621AF,2621AF,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,4,LP
120,3001MZ,3001MZ,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,5,LS
121,1856ME,1856ME,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,10,WE
122,1616MT,1616MT,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,9,SO
123,2327BE,2327BE,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,3,EA
124,2219SC,2219SC,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,10,WE
125,1593KB,1593KB,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,9,SO
126,1124GR,1124GR,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
127,1049TM,1049TM,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
128,1392KY,1392KY,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,5,LS
129,2203YB,2203YB,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
130,1956KG,1956KG,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,1,CE
131,2013AE,2013AE,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,5,LS
132,1946FP,1946FP,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
133,2867MZ,2867MZ,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,10,WE
134,2239KT,2239KT,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
135,1235BP,1235BP,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,3,EA
136,1487SB,1487SB,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,4,LP
137,1114EJ,1114EJ,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,3,EA
138,1892HA,1892HA,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,4,LP
139,3162TE,3162TE,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,8,NW
140,2823ZT,2823ZT,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,3,EA
141,2118JF,2118JF,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,10,WE
142,2507MT,2507MT,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
143,2417GP,2417GP,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,5,LS
144,1724DK,1724DK,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,7,NO
145,3080LH,3080LH,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,1,CE
146,2413BB,2413BB,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,5,LS
147,2493AY,2493AY,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,9,SO
148,1715JA,1715JA,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
149,1062NC,1062NC,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,5,LS
150,2844PZ,2844PZ,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,10,WE
151,2072FA,2072FA,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,7,NO
152,2540AF,2540AF,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
153,1873YJ,1873YJ,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,9,SO
154,2238JJ,2238JJ,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
155,2270LH,2270LH,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
156,1598ZM,1598ZM,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
157,3105AZ,3105AZ,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,8,NW
158,2463RS,2463RS,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,9,SO
159,1205GR,1205GR,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
160,3138DF,3138DF,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,1,CE
161,1766GZ,1766GZ,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,5,LS
162,3222ER,3222ER,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,5,LS
163,2518PN,2518PN,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,5,LS
164,2926YJ,2926YJ,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,10,WE
165,2936DR,2936DR,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,3,EA
166,2283KY,2283KY,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,6,MU
167,2441ND,2441ND,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,7,NO
168,2107TL,2107TL,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,7,NO
169,2748LF,2748LF,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
170,1337CS,1337CS,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,8,NW
171,1013MK,1013MK,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,5,LS
172,3003TT,3003TT,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
173,2546MP,2546MP,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,7,NO
174,1898CG,1898CG,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,9,SO
175,3310DP,3310DP,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,3,EA
176,3277TA,3277TA,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,5,LS
177,2138SC,2138SC,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,5,LS
178,2734BM,2734BM,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,5,LS
179,1626NB,1626NB,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,10,WE
180,3235SJ,3235SJ,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,1,CE
181,1093TN,1093TN,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,1,CE
182,2207BP,2207BP,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,3,EA
183,2858GS,2858GS,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,5,LS
184,2410JE,2410JE,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,10,WE
185,1127SS,1127SS,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,1,CE
186,3022BY,3022BY,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,5,LS
187,2462HN,2462HN,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
188,2904ZT,2904ZT,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,9,SO
189,3101KM,3101KM,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,3,EA
190,2437PN,2437PN,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,7,NO
191,1458FH,1458FH,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,1,CE
192,2020GS,2020GS,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,4,LP
193,2230MS,2230MS,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,10,WE
194,1213SM,1213SM,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,7,NO
195,2773BF,2773BF,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,1,CE
196,2229FD,2229FD,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,9,SO
197,1326HG,1326HG,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,4,LP
198,2394NG,2394NG,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,5,LS
199,2195YS,2195YS,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,7,NO
200,1665NG,1665NG,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,9,SO
201,3165NB,3165NB,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
202,3073SJ,3073SJ,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,6,MU
203,1409SC,1409SC,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,1,CE
204,1312YB,1312YB,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
205,2605YM,2605YM,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,4,LP
206,3267HF,3267HF,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,9,SO
207,2396YC,2396YC,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
208,2754TS,2754TS,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,5,LS
209,2990RD,2990RD,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,4,LP
210,2970YA,2970YA,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,7,NO
211,3090PP,3090PP,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,9,SO
212,1474EL,1474EL,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,1,CE
213,1174TN,1174TN,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,4,LP
214,1602ER,1602ER,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
215,2145LB,2145LB,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,7,NO
216,3319TK,3319TK,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,8,NW
217,2184LG,2184LG,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
218,2221GC,2221GC,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,7,NO
219,2063MR,2063MR,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,7,NO
220,3257BZ,3257BZ,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,3,EA
221,1544FR,1544FR,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,5,LS
222,1371RZ,1371RZ,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,8,NW
223,1533RZ,1533RZ,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,4,LP
224,1461TE,1461TE,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,8,NW
225,2128AA,2128AA,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
226,1513YG,1513YG,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,4,LP
227,2897GC,2897GC,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,4,LP
228,1434KC,1434KC,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,9,SO
229,1600JE,1600JE,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,5,LS
230,1374LG,1374LG,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,4,LP
231,1043GR,1043GR,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,2,CO
232,2076JJ,2076JJ,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,8,NW
233,1238ZY,1238ZY,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,5,LS
234,1776LF,1776LF,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,5,LS
235,3072RZ,3072RZ,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,6,MU
236,2903AJ,2903AJ,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,1,CE
237,2054GT,2054GT,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,4,LP
238,2015GR,2015GR,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,9,SO
239,3046PL,3046PL,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,7,NO
240,1963BF,1963BF,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,6,MU
241,1663CJ,1663CJ,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,10,WE
242,2577HJ,2577HJ,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,7,NO
243,1005HY,1005HY,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,9,SO
244,3211FZ,3211FZ,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,9,SO
245,3065GP,3065GP,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,8,NW
246,1277ZB,1277ZB,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,6,MU
247,1147KR,1147KR,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,8,NW
248,3194MP,3194MP,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,1,CE
249,2329AR,2329AR,2025-03-31 19:51:52.787000000,2025-03-31 19:51:52.787000000,9,SO
